"Carimbo de data/hora","Termo de consentimento","Como se identifica?","""Qual é a sua cor ou raça/etnia?","Qual sua Idade?","Qual o eixo do seu curso?","Duração em semestres?","Qual semestre se encontra?","Quanto sua rotina de trabalho interfere nos estudos?","Qual o modelo de trabalho?","Marque até 4 características se aplicam ao seu trabalho","Quanto sua rotina de casa interfere nos estudos?","Atualmente mora só ou divide sua casa?","Sente pressionado por parentes e familiares sobre seus estudos?","Marque até 4  características que se aplicam a sua casa.","Tem um ambiente separado para seus estudos?","Dado contexto de ensino a distancia, sente falta de contato presencial com professores e colegas de sala:","Quanto concorda com a afirmação O estudo online dificulta o aprendizado?","Em uma escala de 1 a 5, o quanto o período de provas é estressante pra você?","Resuma em uma palavra como se sente no período de provas.","Sente pressionado por seus colegas de aula ou grupo?","Em poucas palavras quais dificuldades você sente em realizar trabalhos em grupo?","Qual estratégia de enfrentamento você usa como estudante?","Marque abaixo até 3 hábitos que tem.","Quanto esse(es) hábito(os) ajuda(am) com seu stress nos estudos? ","Marque abaixo até 3 vícios que tem.","O quanto esse(es) vício(os) contribui(em) no seu stress nos estudos?","Faz acompanhamento psicológico ou cuidado a saúde mental?","Utiliza do serviço público ou privado para saúde mental?","Nota melhoras na sua gestão de estresse, ou stress, com o uso de serviços de saúde mental?"
"2025/10/14 1:24:53 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","1","Hibrido","Calmo;Organizado;Colaborativo;Dinâmico","2","Divido com esposo","1","Confortável;Tranquilo;Seguro;Aconchegante","Sim","1","1","1","Tranquilo.","1","Componentes do grupo não comparecerem.","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Sair com amigos;Ouvir musica","3","Não se aplica","1","Não","Privado","Não se aplica"
"2025/10/14 1:33:10 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","5","Presencial","Agitado;Barulhento;Estressante;Imprevisível","4","Moro com esposo","3","Confortável;Tranquilo;Seguro;Acolhedor","Não","3","3","3","Muita ansiedade.","4","Muita dificuldade, cada um pensa de uma forma, cada um tem seu horário, cada um mora em uma cidade. Difícil a comunicação ","Isolamento Temporário, toma tempo para si e processar o stress.","Boa rotina de sono;Hidratação;Serviço de apoio a saúde mental","4","Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","4","Sim","Privado","Sim"
"2025/10/14 1:34:26 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Computação","6 semestres","6","5","Hibrido","Agitado;Caotico;Inovador;Produtivo","5","Divido","4","Barulhento;Caótico;Opressivo;Inseguro","Não","5","4","4","Nervosa","1","Nenhuma","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Boa alimentação;Boa rotina de sono","4","Autocobrança;Dependência de alarmes múltiplos;Café ","4","Sim","Privado","Sim"
"2025/10/14 2:03:20 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Computação","8 semestres","7","3","Não trabalho","Não trabalho","5","Meu marido e eu.","1","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Aconchegante;Acolhedor","Não","2","1","3","Tranquila ","4","Pessoas ansiosas me deixam ansiosa, então procuro ter o menos contato possível quando vejo que alguém é assim, contato só quando for essencial para o andamento do projeto.","Autocuidado, busca atividades para relaxar a mente.","Passear ao Ar Livre;Boa rotina de sono;Ler;Meditação;Ouvir musica;Tempo com a familia","5","Autocobrança;Isolamento;Não é vício, mas se fico ansiosa, não consigo dormir.","5","Não","Não se aplica.","Não se aplica"
"2025/10/14 2:15:59 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","5","Presencial","Agitado;Colaborativo;Hierarquizado rigidamente","4","com meu esposo","2","Confortável;Organizado;Tranquilo;Harmonioso","Não","2","1","3","atarefada","4","não ter a opcao de fazer só, monitores despreparados, material para estudo pouco claro","Autocuidado, busca atividades para relaxar a mente.","Ouvir musica","4","Hábitos alimentares disfuncionais (pular refeições, compulsão)","2","Não","Não se aplica.","Não se aplica"
"2025/10/14 2:31:25 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","","Negócios e Produção","8 semestres","7","4","Presencial","Agitado;Estressante;Sobrecarregante;Imprevisível","5","Divido.","2","Confortável;Aconchegante;Desgastante;Cansativo","Não","3","2","2","Ansiosa","2","Falta de comunicação e clareza.","Buscar apoio, com amigos, familiares ou colegas.","Boa alimentação;Passear ao Ar Livre;Tempo com a familia","5","Não se aplica","1","Não","Não se aplica.","Não se aplica"
"2025/10/14 2:44:54 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","2","Presencial","Estressante;Produtivo;Desafiador;Sobrecarregante","4","Divido ","3","Organizado;Harmonioso;Seguro;Barulhento","Sim","3","1","3","Apreensivo ","5","Que o grupo participe ","Isolamento Temporário, toma tempo para si e processar o stress.","Ler;Ouvir musica;Tempo com a familia","4","Autocobrança;Isolamento","3","Não","Não se aplica.","Não se aplica"
"2025/10/14 2:59:06 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Licenciatura","8 semestres","07","4","Presencial","Dinâmico;Desafiador;Imprevisível","4","Moro com meu esposo","1","Confortável;Organizado;Seguro;Aconchegante","Sim","2","2","4","Cansada","1","Sem dificuldades. Grupo colaborativo","Distrações, busca fontes de prazeres ou vícios para relaxar.","Exercicios Fisicos;Hidratação;Ouvir musica","3","Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","4","Não","Público","Não"
"2025/10/14 3:43:07 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","3","Remoto","Estressante","4","Moro com pais idosos","1","Confortável;Organizado;Tranquilo;Harmonioso;Aconchegante;Acolhedor","Sim","5","3","3","Auto cobrada","4","Lidar com pessoas que não cumprem tarefas e prazos","Analisar a situação, lidar com a situação com inteligência.","Sair com amigos;Boa rotina de sono;Tempo com a familia","1","Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão);Vício em estudo (ignorar saúde por produtividade)","5","Não","Privado","Não se aplica"
"2025/10/14 3:55:24 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Preto","","Negócios e Produção","8 semestres","6","4","Presencial","Agitado;Caotico;Estressante;Produtivo","5","Divido a casa com 6 pessoas ","1","Seguro;Barulhento;Caótico","Não","3","3","4","Ansiosa ","2","Tentamos manter o mesmo grupo sempre.
Estamos entrosados, mascada um precisa cumprir suas tarefas ou da briga.","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Hidratação","3","Não se aplica","1","Não","Público","Não se aplica"
